"Carrier","Departure Delay","Arrival Delay"
"AA",-1.00,-20.00
"AA",-1.00,-20.00
"AA",-1.00,-20.00
"AA",-1.00,-20.00
"AA",-1.00,-20.00
"AA",-1.00,-20.00
"AA",-1.00,-20.00
"AA",-1.00,-20.00
"AA",-1.00,-20.00
"AA",-1.00,-20.00
"AA",-1.00,-20.00
"AA",-1.00,-20.00
"AA",-1.00,-20.00
"AA",-1.00,-20.00
"AA",-1.00,-20.00
"AA",-1.00,-20.00
"AA",-1.00,-20.00
"AA",-1.00,-20.00
"AA",-1.00,-20.00
"AA",-1.00,-20.00
"AA",-1.00,-20.00
"AA",-1.00,-20.00
"AA",-1.00,-20.00
"AA",-1.00,-20.00
"AA",-1.00,-20.00
"AA",-1.00,-20.00
"AA",-1.00,-21.00
"AA",-1.00,-21.00
"AA",-1.00,-21.00
"AA",-1.00,-21.00
"AA",-1.00,-21.00
"AA",-1.00,-21.00
"AA",-1.00,-21.00
"AA",-1.00,-21.00
"AA",-1.00,-21.00
"AA",-1.00,-21.00
"AA",-1.00,-21.00
"AA",-1.00,-21.00
"AA",-1.00,-21.00
"AA",-1.00,-21.00
"AA",-1.00,-21.00
"AA",-1.00,-21.00
"AA",-1.00,-21.00
"AA",-1.00,-21.00
"AA",-1.00,-21.00
"AA",-1.00,-21.00
"AA",-1.00,-21.00
"AA",-1.00,-21.00
"AA",-1.00,-21.00
"AA",-1.00,-21.00
"AA",-1.00,-21.00
"AA",-1.00,-22.00
"AA",-1.00,-22.00
"AA",-1.00,-22.00
"AA",-1.00,-22.00
"AA",-1.00,-22.00
"AA",-1.00,-22.00
"AA",-1.00,-22.00
"AA",-1.00,-22.00
"AA",-1.00,-22.00
"AA",-1.00,-22.00
"AA",-1.00,-22.00
"AA",-1.00,-22.00
"AA",-1.00,-22.00
"AA",-1.00,-22.00
"AA",-1.00,-22.00
"AA",-1.00,-22.00
"AA",-1.00,-22.00
"AA",-1.00,-22.00
"AA",-1.00,-22.00
"AA",-1.00,-22.00
"AA",-1.00,-22.00
